"","playerID","yearID","ballots","needed","votes","inducted","category","name_given","name_nick"
"193","falkecy01",1937,201,151,1,"N","Player","Frederick Peter",""
"194","gleaski01",1937,201,151,1,"N","Player","William J.",""
"195","grimebu01",1937,201,151,1,"N","Player",NA,NA
"196","grohhe01",1937,201,151,1,"N","Player","Henry Knight",""
"197","hinchbi01",1937,201,151,1,"N","Player","William White",""
"198","judgejo01",1937,201,151,1,"N","Player","Joseph Ignatius",""
"199","kerrdi01",1937,201,151,1,"N","Player","Richard Henry",""
"200","leachto01",1937,201,151,1,"N","Player","Thomas William",""
"201","leevesa01",1937,201,151,1,"N","Player","Samuel","Deacon; The Goshen Schoolmaster"
"202","longhe01",1937,201,151,1,"N","Player","Herman C.","Germany; Flying Dutchman"
"203","luquedo01",1937,201,151,1,"N","Player","Adolfo Domingo de Guzman","The Pride Of Havana"
"204","mcinnst01",1937,201,151,1,"N","Player",NA,NA
"205","mcleala01",1937,201,151,1,"N","Player","John Bannerman",""
"206","meusebo01",1937,201,151,1,"N","Player","Robert William","Long Bob"
"207","milleha01",1937,201,151,1,"N","Player","Laurence H.",""
"208","moranpa01",1937,201,151,1,"N","Player","Patrick Joseph",""
"209","murphda02",1937,201,151,1,"N","Player","Daniel Francis",""
"210","murrare01",1937,201,151,1,"N","Player","John Joseph",""
"211","paskedo01",1937,201,151,1,"N","Player","George Henry",""
"212","raymobu01",1937,201,151,1,"N","Player","Arthur Lawrence",""
"213","rixeyep01",1937,201,151,1,"N","Player",NA,NA
"214","rudoldi01",1937,201,151,1,"N","Player","Richard","Baldy"
"215","rusieam01",1937,201,151,1,"N","Player","Amos Wilson","The Hoosier Thunderbolt"
"216","schulfr01",1937,201,151,1,"N","Player","Frank M.","Wildfire"
"217","seweljo01",1937,201,151,1,"N","Player","Joseph Wheeler",""
"218","steinha01",1937,201,151,1,"N","Player","Harry M.",""
"219","streega01",1937,201,151,1,"N","Player","Charles Evard","Old Sarge"
"220","sullibi03",1937,201,151,1,"N","Player","William Joseph",""
"221","veachbo01",1937,201,151,1,"N","Player","Robert Hayes",""
"222","wallabo01",1937,201,151,1,"N","Player","Roderick John",""
"223","wilsoha01",1937,201,151,1,"N","Player","Lewis Robert",""
"224","bulkemo99",1937,NA,NA,NA,"Y","Pioneer/Executive","Morgan Gardner",""
"225","johnsba99",1937,NA,NA,NA,"Y","Pioneer/Executive","Byron Bancroft",""
"226","mackco01",1937,NA,NA,NA,"Y","Manager","Cornelius Alexander","The Tall Tactician"
"227","mcgrajo01",1937,NA,NA,NA,"Y","Manager","John Joseph","Mugsy; Little Napoleon"
"228","wrighge01",1937,NA,NA,NA,"Y","Pioneer/Executive","George",""
"229","alexape01",1938,262,197,212,"Y","Player","Grover Cleveland",""
"230","sislege01",1938,262,197,179,"N","Player","George Harold","Gorgeous George"
"231","keelewi01",1938,262,197,177,"N","Player",NA,NA
"232","collied01",1938,262,197,175,"N","Player","Edward Trowbridge","Cocky"
"233","wadderu01",1938,262,197,148,"N","Player","George Edward",""
"234","chancfr01",1938,262,197,133,"N","Player","Frank Leroy","Husk; The Peerless Leader"
"235","delahed01",1938,262,197,132,"N","Player","Edward James","Big Ed"
"236","walshed01",1938,262,197,110,"N","Player","Edward Augustine","Big Ed"
"237","eversjo01",1938,262,197,91,"N","Player","John Joseph","Crab; Trojan"
"238","colliji01",1938,262,197,79,"N","Player","James Joseph",""
"239","maranra01",1938,262,197,73,"N","Player","Walter James Vincent",""
"240","bresnro01",1938,262,197,67,"N","Player","Roger Philip","The Duke Of Tralee"
"241","clarkfr01",1938,262,197,63,"N","Player","Fred Clifford","Cap"
"242","brownmo01",1938,262,197,54,"N","Player","Mordecai Peter Centennial","Three Finger; Miner"
"243","huggimi01",1938,262,197,48,"N","Manager","Miller James","Mighty Mite"
"244","hornsro01",1938,262,197,46,"N","Player","Rogers","Rajah"
"245","schalra01",1938,262,197,45,"N","Player","Ray William","Cracker"
"246","youngro01",1938,262,197,40,"N","Player",NA,NA
"247","planked01",1938,262,197,38,"N","Player","Edward Stewart","Gettysburg Eddie"
"248","pennohe01",1938,262,197,37,"N","Player","Herbert Jefferis","The Knight Of Kennett Square"
"249","mcginjo01",1938,262,197,36,"N","Player","Joseph Jerome","Iron Man"
"250","bendech01",1938,262,197,33,"N","Player",NA,NA
"251","bakerfr01",1938,262,197,32,"N","Player","John Franklin",""
"252","klingjo01",1938,262,197,26,"N","Player","John","Noisy"
"253","duffyhu01",1938,262,197,24,"N","Player","Hugh",""
"254","jennihu01",1938,262,197,23,"N","Player","Hugh Ambrose","Ee-Yah"
"255","jossad01",1938,262,197,18,"N","Player","Adrian",""
"256","robinwi01",1938,262,197,17,"N","Manager","Wilbert","Uncle Robbie"
"257","tinkejo01",1938,262,197,16,"N","Player","Joseph Bert",""
"258","heilmha01",1938,262,197,14,"N","Player","Harry Edwin","Slug"
"259","ruckena01",1938,262,197,12,"N","Player","George Napoleon",""
"260","adamsba01",1938,262,197,11,"N","Player","Charles Benjamin",""
